id,留言问题,日期,链接地址,是否下载,问,答
405729a2ffcdfe3884f07c44712b0b43,我公司是一般纳税人，销售自己使用过的固定资产适用简易计税方法的，如何填写增值税申报表？,2025-10-11,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5243574/content.html,Y,我公司是一般纳税人，销售自己使用过的固定资产适用简易计税方法的，如何填写增值税申报表？,"一般纳税人销售自己使用过的固定资产，符合相关规定的，可以选择适用简易办法依照3%征收率减按2%征收增值税优惠政策，填表方法如下：

1.将价款按3%征收率换算为不含税销售额，销售额=含税销售额÷（1+3%），销项税额=销售额x3%。将销售额、销项税额填写至《增值税及附加税费申报表附列资料（一）》第11栏对应的列次。

2.《增值税减免税申报明细表》的减税项目中“减税性质代码及名称”选择“0001129924”，对应减征的增值税应纳税额按销售额的1%计算填写在《增值税减免税申报明细表》减税项目相应栏次。

3.《增值税及附加税费申报表》主表第5栏填写“按简易办法计税销售额”，第21栏填写“简易计税办法计算的应纳税额”，第23栏填写“应纳税额减征额”，第24栏填写“应纳税额合计”。填写《增值税及附加税费申报表附列资料（一）》《增值税减免税申报明细表》后，系统会自动生成《增值税及附加税费申报表》主表的数据。"
54c5c355879dc64bbfe7a3085cab0008,上一年度享受了研发费用加计扣除优惠，相关资料应由总机构留存备查还是分支机构留存备查？,2025-09-10,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5243107/content.html,Y,上一年度享受了研发费用加计扣除优惠，相关资料应由总机构留存备查还是分支机构留存备查？,"上一年度，无论是总机构还是非法人分支机构发生适用税前加计扣除政策的研发活动，均由总机构汇总计算并享受研发费用加计扣除优惠政策。

根据《国家税务总局关于发布修订后的〈企业所得税优惠政策事项办理办法〉的公告》（国家税务总局公告2018年第23号）第八条规定，设有非法人分支机构的居民企业以及实行汇总纳税的非居民企业机构、场所享受优惠事项的，由居民企业的总机构以及汇总纳税的主要机构、场所负责统一归集并留存备查资料。

因此，跨省经营汇总纳税企业在上一年度享受了研发费用加计扣除优惠，相关资料应当由总机构留存备查。"
76abb038ed29e6f4f933a04ee6672a04,我们企业买了一套二手房，想问一下，该如何计提折旧？,2025-08-13,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5242302/content.html,Y,我们企业买了一套二手房，想问一下，该如何计提折旧？,"通俗理解，计提折旧就是企业将固定资产在使用过程中逐渐损耗的价值，按一定方法分摊到其预计使用寿命内的会计处理过程。根据《中华人民共和国企业所得税法实施条例》（中华人民共和国国务院令第512号）的规定，房屋、建筑物固定资产计算折旧的最低年限为20年。

企业外购的固定资产，以购买价款和支付的相关税费以及直接归属于使该资产达到预定用途发生的其他支出为计税基础。固定资产按照直线法计算的折旧，准予扣除。企业应当自固定资产投入使用月份的次月起计算折旧；停止使用的固定资产，应当自停止使用月份的次月起停止计算折旧。

企业应当根据固定资产的性质和使用情况，合理确定固定资产的预计净残值。固定资产的预计净残值一经确定，不得变更。"
e911ea198d31b7ee768275e34d2c7ccb,我家里亲戚有闲置的房子计划开一家共享茶室，听说个体工商户可以享受减半征收个人所得税优惠，有什么条件要求吗？如果继续开新店，要怎么享受这项政策？,2025-07-16,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5241868/content.html,Y,我家里亲戚有闲置的房子计划开一家共享茶室，听说个体工商户可以享受减半征收个人所得税优惠，有什么条件要求吗？如果继续开新店，要怎么享受这项政策？,"根据《国家税务总局关于进一步落实支持个体工商户发展个人所得税优惠政策有关事项的公告》（国家税务总局公告2023年第12号）规定：对个体工商户应纳税所得额不超过200万元的部分，减半征收个人所得税。个体工商户在享受现行其他个人所得税优惠政策的基础上，可叠加享受本条优惠政策。个体工商户不区分征收方式，均可享受。

如果您亲戚的茶室开了新店，就属于个体工商户从两处以上取得经营所得，需在办理年度汇总纳税申报时，合并计算个体工商户经营所得年应纳税所得额，重新计算减免税额，多退少补。"
89c49701f9c353dbbd85a217fc92192f,年度中间符合小型微利企业条件的，可以享受小型微利企业企业所得税优惠政策吗？如果可以，之前多预缴的税款如何处理？,2025-06-20,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5241196/content.html,Y,年度中间符合小型微利企业条件的，可以享受小型微利企业企业所得税优惠政策吗？如果可以，之前多预缴的税款如何处理？,根据《关于落实小型微利企业所得税优惠政策征管问题的公告》（国家税务总局公告2023年第6号）第五条规定，原不符合小型微利企业条件的企业，在年度中间预缴企业所得税时，按照相关政策标准判断符合小型微利企业条件的，应按照截至本期预缴申报所属期末的累计情况，计算减免税额。当年度此前期间如因不符合小型微利企业条件而多预缴的企业所得税税款，可在以后季度应预缴的企业所得税税款中抵减。
c358016c3e70cb44adef6395df1cb947,我是甲企业法定代表人，甲企业因管理不善纳税信用被评为D级，为何我名下注册登记的乙企业也被评为D级，该怎么办呢？,2025-05-30,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5240871/content.html,Y,我是甲企业法定代表人，甲企业因管理不善纳税信用被评为D级，为何我名下注册登记的乙企业也被评为D级，该怎么办呢？,"乙企业是被关联评价为D级了。根据《国家税务总局关于发布〈纳税信用管理办法(试行)〉的公告》（国家税务总局公告2014年第40号）第三十二条第一项规定，公开D级纳税人及其直接责任人员名单，对直接责任人员注册登记或者负责经营的其他纳税人纳税信用直接判为D级。

如果甲企业纳税信用修复后纳税信用等级不再为D级，乙企业可向主管税务机关申请解除纳税信用D级关联，税务机关依据纳税人申请重新评价纳税信用级别。如果甲企业未申请修复或修复后纳税信用级别仍为D级，乙企业则需要在申请前连续6个月没有新增纳税信用失信行为记录，才可向主管税务机关申请纳税信用修复，税务机关依据纳税人申请重新评价纳税信用级别。"
aab65eca7ea1c902285e696f286d815f,我公司在预缴时享受了小型微利企业所得税优惠，汇算清缴时发现不符合小型微利企业条件的怎么办？,2025-05-16,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5240479/content.html,Y,我公司在预缴时享受了小型微利企业所得税优惠，汇算清缴时发现不符合小型微利企业条件的怎么办？,"您说的这种情况，应当按规定补缴企业所得税税款。

按照政策规定，2023年到2027年，我国对小型微利企业减按25%计算应纳税所得额，按20%的税率缴纳企业所得税，实际税负率仅有5%。

享受这一优惠的小型微利企业，是指从事国家非限制和禁止行业，且同时符合年度应纳税所得额不超过300万元、从业人数不超过300人、资产总额不超过5000万元等条件的企业。

按照《国家税务总局关于落实小型微利企业所得税优惠政策征管问题的公告》（国家税务总局公告2023年第6号）规定，小型微利企业预缴企业所得税时，从业人数、资产总额、年度应纳税所得额指标，暂按当年度截至本期预缴申报所属期末的情况进行判断。

也就是说，在预缴时，只要符合小型微利企业条件的，都可以先享受相关优惠政策。但在年度汇算清缴时发现不符合相关政策标准的，就要按规定补缴企业所得税税款。"
7eb3da8744110363ea3a02ee33d05198,某纳税人2019年4月购进不动产，取得增值税专用发票并已认证，金额1000万元，税额90万元，应当如何填写增值税纳税申报表？,2025-04-18,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5239884/content.html,Y,某纳税人2019年4月购进不动产，取得增值税专用发票并已认证，金额1000万元，税额90万元，应当如何填写增值税纳税申报表？,《财政部 税务总局 海关总署关于深化增值税改革有关政策的公告》（财政部 税务总局 海关总署公告2019年第39号）第五条规定，自2019年4月1日起，纳税人取得不动产或者不动产在建工程的进项税额不再分2年抵扣。该纳税人在办理2019年4月税款所属期纳税申报时，应将购入不动产取得的增值税专用发票份数，以及专用发票上注明的金额、税额填入《增值税纳税申报表附列资料（二）》第2行“其中：本期认证相符且本期申报抵扣”的对应栏次；同时，还需将上述内容填入本表第9行“（三）本期用于购建不动产的扣税凭证”的对应栏次。
4181ee7fca57de4e4f59b57c06dcff31,增值税一般纳税人购进国内旅客运输服务取得航空运输电子客票行程单的，如何计算进项税额？,2025-03-27,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5239249/content.html,Y,增值税一般纳税人购进国内旅客运输服务取得航空运输电子客票行程单的，如何计算进项税额？,取得注明旅客身份信息的航空运输电子客票行程单的，按照下列公式计算进项税额：航空旅客运输进项税额＝（票价+燃油附加费）÷（1+9%）×9%。
63aa9b3d0e039bfef44c78e50bfc3a31,E公司因员工出差计划取消，支付给航空代理公司退票费，并取得了6%税率的增值税专用发票。E公司可以抵扣该笔进项税额吗？,2025-03-03,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5238681/content.html,Y,E公司因员工出差计划取消，支付给航空代理公司退票费，并取得了6%税率的增值税专用发票。E公司可以抵扣该笔进项税额吗？,按照现行政策规定，航空代理公司收取的退票费，属于现代服务业的征税范围，应按照6%税率计算缴纳增值税。E公司因公务支付的退票费，属于可抵扣的进项税范围，其增值税专用发票上注明的税额，可以从销项税额中抵扣。
6562a6c02e47cede305dc0dded2769c3,纳税人购进国内旅客运输服务，取得增值税专用发票，按规定可抵扣的进项税额怎么申报？,2025-02-10,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5238284/content.html,Y,纳税人购进国内旅客运输服务，取得增值税专用发票，按规定可抵扣的进项税额怎么申报？,纳税人购进国内旅客运输服务，取得增值税专用发票，按规定可抵扣的进项税额，在申报时填写在《增值税纳税申报表附列资料（二）》“（一）认证相符的增值税专用发票”对应栏次中。
6b11e2277f4b0961675fdfac64042499,深化增值税改革，对增值税一般纳税人购进农产品，原适用10%扣除率的是否有调整？,2025-01-20,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5237967/content.html,Y,深化增值税改革，对增值税一般纳税人购进农产品，原适用10%扣除率的是否有调整？,有调整。深化增值税改革有关政策公告规定，对增值税一般纳税人购进农产品，原适用10%扣除率的，扣除率调整为9%。
dfb652414ed097191976af017d27d3a5,纳税人为非雇员（如客户、邀请讲课专家等存在业务合作关系的人员）支付的旅客运输费用，能否抵扣进项税额？,2025-01-15,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5237848/content.html,Y,纳税人为非雇员（如客户、邀请讲课专家等存在业务合作关系的人员）支付的旅客运输费用，能否抵扣进项税额？,《财政部 税务总局 海关总署关于深化增值税改革有关政策的公告》（财政部 税务总局 海关总署公告2019年第39号）规定，增值税一般纳税人购进国内旅客运输服务，其进项税额允许从销项税额中抵扣。这里指的是与本单位建立了合法用工关系的雇员，所发生的国内旅客运输费用允许抵扣其进项税额。纳税人如果为非雇员支付的旅客运输费用，不能纳入抵扣范围。需要注意的是，上述允许抵扣的进项税额，应用于生产经营所需，如属于集体福利或者个人消费，其进项税额不得从销项税额中抵扣。
73a86a6c2a57adffb3b9697914488eb6,E公司2019年3月份购入一间厂房，当月取得增值税专用发票并在增值税发票选择确认平台勾选确认，办理3月税款所属期申报时，该厂房的进项税额可以一次性抵扣吗？,2025-01-10,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5237797/content.html,Y,E公司2019年3月份购入一间厂房，当月取得增值税专用发票并在增值税发票选择确认平台勾选确认，办理3月税款所属期申报时，该厂房的进项税额可以一次性抵扣吗？,不可以。《财政部 税务总局 海关总署关于深化增值税改革有关政策的公告》（财政部 税务总局 海关总署公告2019年第39号）第五条规定，自2019年4月1日起，纳税人取得不动产或者不动产在建工程的进项税额不再分2年抵扣。此前按照规定尚未抵扣完毕的待抵扣进项税额，可自2019年4月税款所属期起从销项税额中抵扣。E公司3月份购入的不动产，属于2019年4月1日前购入，应在3月税款所属期抵扣60%进项税额，余下的40%进项税额自4月税款所属期起抵扣完毕。
4c4d31b1b29529b14197e5b89e94012a,增值税一般纳税人从批发、零售环节购进适用免征增值税政策的蔬菜而取得的普通发票，能否作为计算抵扣进项税额的凭证？,2025-01-03,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5237588/content.html,Y,增值税一般纳税人从批发、零售环节购进适用免征增值税政策的蔬菜而取得的普通发票，能否作为计算抵扣进项税额的凭证？,增值税一般纳税人从批发、零售环节购进适用免征增值税政策的蔬菜而取得的普通发票，不得作为计算抵扣进项税额的凭证。
528e1f5f334469a022aff9bf30a32520,增值税一般纳税人购进国际旅客运输服务，能否抵扣进项税额？,2024-12-24,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5237341/content.html,Y,增值税一般纳税人购进国际旅客运输服务，能否抵扣进项税额？,不能。纳税人提供国际旅客运输服务，适用增值税零税率或免税政策。相应地，购买国际旅客运输服务不能抵扣进项税额。
2b941bccd60d483b63dd3b9eed04c20d,增值税一般纳税人购进国内旅客运输服务，能否抵扣进项税额？,2024-12-17,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5237264/content.html,Y,增值税一般纳税人购进国内旅客运输服务，能否抵扣进项税额？,可以。自2019年4月1日起，增值税一般纳税人购进国内旅客运输服务，其进项税额允许从销项税额中抵扣。
4a0e22a8ad101c18f9c851dba288e85b,公司2018年10月购进不动产抵扣了进项税额的60%部分，尚未抵扣完毕的40%部分，2019年4月1日以后可以分几个月进行抵扣吗？,2024-12-10,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5236532/content.html,Y,公司2018年10月购进不动产抵扣了进项税额的60%部分，尚未抵扣完毕的40%部分，2019年4月1日以后可以分几个月进行抵扣吗？,不可以。按照《财政部 税务总局 海关总署关于深化增值税改革有关政策的公告》（财政部 税务总局 海关总署公告2019年第39号）规定，纳税人在2019年3月31日前尚未抵扣的不动产进项税额的40%部分，自2019年4月所属期起，只能一次性转入进项税额进行抵扣。
277e909cf07dee9656d8adb671abdb49,A单位2019年4月购入一层写字楼，取得增值税专用发票，购入写字楼的不动产进项税额还需要分两年抵扣吗？,2024-12-06,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5236384/content.html,Y,A单位2019年4月购入一层写字楼，取得增值税专用发票，购入写字楼的不动产进项税额还需要分两年抵扣吗？,不需要，自2019年4月1日起，增值税一般纳税人取得不动产的进项税额不再分两年抵扣，而是在购进不动产的当期一次性抵扣进项税额。
db99744c242f080836ed7d5153148a6b,自2019年4月1日起，适用9%税率的增值税应税行为包括哪些？,2024-12-02,http://www.chinatax.gov.cn/chinatax/n810356/n3255681/c5236314/content.html,Y,自2019年4月1日起，适用9%税率的增值税应税行为包括哪些？,自2019年4月1日起，增值税一般纳税人销售交通运输、邮政、基础电信、建筑、不动产租赁服务，销售不动产，转让土地使用权，销售或者进口下列货物，税率为9%：粮食等农产品、食用植物油、食用盐；自来水、暖气、冷气、热水、煤气、石油液化气、天然气、二甲醚、沼气、居民用煤炭制品；图书、报纸、杂志、音像制品、电子出版物；饲料、化肥、农药、农机、农膜;国务院规定的其他货物。
