序号,标题,发文字号,成文日期,链接,是否下载
dd2b61398f6683a0ef1b053b4ea4d13f,国家税务总局 工业和信息化部 国家互联网信息办公室关于规范互联网平台企业涉税信息报送有关行政处罚事项的公告,国家税务总局 工业和信息化部 国家互联网信息办公室公告2025年第22号,2025-09-28,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5243496/content.html,Y
36f0c840afe4ca92629f27a561e7ce61,国家税务总局 工业和信息化部关于发布《免征车辆购置税的设有固定装置的非运输专用作业车辆目录》（第十九批）的公告,国家税务总局 工业和信息化部公告2025年第21号,2025-09-12,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5243285/content.html,Y
578b00c49685a617491501afaa835cea,国家税务总局关于办理增值税期末留抵退税有关征管事项的公告,国家税务总局公告2025年第20号,2025-08-22,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5242455/content.html,Y
14e1bfa45e99e326beaa5206dce1ca70,国家税务总局关于中国与喀麦隆税收协定以及中国与巴西税收协定议定书生效执行的公告,国家税务总局公告2025年第19号,2025-08-11,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5242318/content.html,Y
e061915683599c1c2dd52ecf9b991404,国家税务总局关于境外投资者以分配利润直接投资税收抵免政策有关事项的公告,国家税务总局公告2025年第18号,2025-07-31,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5242127/content.html,Y
72405dc630e166ef0ce7c7f59a1bb631,国家税务总局关于优化企业所得税预缴纳税申报有关事项的公告,国家税务总局公告2025年第17号,2025-07-07,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5241820/content.html,Y
7610c348ee93f99cb8b115db5e85bd08,国家税务总局关于互联网平台企业为平台内从业人员办理扣缴申报、代办申报若干事项的公告,国家税务总局公告2025年第16号,2025-06-26,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5241472/content.html,Y
3b176d01acdfb972acdda50e7aaefe6a,国家税务总局关于互联网平台企业报送涉税信息有关事项的公告,国家税务总局公告2025年第15号,2025-06-26,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5241477/content.html,Y
8ed2432bb254363b5d7603e5930e7bda,国家税务总局 工业和信息化部关于发布《免征车辆购置税的设有固定装置的非运输专用作业车辆目录》（第十八批）的公告,国家税务总局 工业和信息化部公告2025年第14号,2025-06-06,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5241144/content.html,Y
89582d37c2ed4dd0f884d810b3d3ba81,国家税务总局关于发布《涉税专业服务管理执法文书式样》的公告,国家税务总局公告2025年第13号,2025-06-06,https://fgk.chinatax.gov.cn/zcfgk/c100012/c5241106/content.html,Y
